프로젝트명,대항목,순서,작업내용,상태,비고,첨부,업데이트일
SLH1 #5호기,Ray-Out 이후,5,"I/O Check
 -> OUP PUT으로 동작 후 IN PUT LED 확인.
 -> Cylinder 정상 동작 확인
 -> MANUAL에서 Cylinder 동작 후 LED 점등 확인 
 -> 미비된 부분 I/O LIST,PC에 저장 후 전장 수정 요청 진행
 -> 전장 수정 후 수정되었는지 동작,LED 확인",✅ 완료,,,최염광 (26-03-06)
SLH1 #5호기,Ray-Out 이후,6,공압 Leak Check,✅ 완료,,,최염광 (26-03-06)
SLH1 #5호기,Ray-Out 이후,7,Cylinder Take Time,✅ 완료,,,최염광 (26-03-06)
SLH1 #5호기,기구물 Setting,1,Hand 제작 전 Up/Down Cylinder Damper All Open(Air 강하게 사용시 튕김&버벅거림 발생),✅ 완료,,,최염광 (26-03-13)
SLH1 #5호기,기구물 Setting,2,"Stacker Conveyor Belt Inverter 값 설정
->운전 모드 변경 P79-2(인터락 해제), P79-1(인터락 작동)
-> P3 60  P4 : 60(고속), P5 : 30(중속), P6 : 10(저속)
-> P7 : 5 (가속),  P8 : 0 (감속)",✅ 완료,,,최염광 (26-03-13)
SLH1 #5호기,기구물 Setting,3,"Reject Stacker Front/Rear Base 높이 조정
 -> Rear Base Cylinder Rod 최대로 내린뒤, front를 무두 볼트 사용하여 Setting",🚨 보류,,,최염광 (26-04-07)
SLH1 #5호기,기구물 Setting,4,Set-Plate Support Lock/Unlock Cylinder Rod SETTING,✅ 완료,,,최염광 (26-03-13)
SLH1 #5호기,기구물 Setting,5,LD/ULD Middle Gripper UP Cylinder Rod (37mm) SETTING,✅ 완료,,,최염광 (26-03-13)
SLH1 #5호기,기구물 Setting,6,"LD/ULD Flow Presicer Up Rod (60mm) Setting 
 -> T-Tray <-> Frame 간 공차 없게 조정",✅ 완료,,,최염광 (26-03-13)
SLH1 #5호기,기구물 Setting,7,InPut/OutPut Bottom Feeder UP Cylinder Rod(16.5mm) SETTING,✅ 완료,,,최염광 (26-03-13)
